Date,Genotype,Condition,Odor,Replicate,Concentration,CI
2/7/20,N2,Control,"2,3-Pentanedione",1,10^-3,1
2/7/20,N2,Control,"2,3-Pentanedione",2,10^-3,0.971014493
2/7/20,N2,Control,"2,3-Pentanedione",3,10^-3,0.972789116
2/10/20,N2,Control,"2,3-Pentanedione",1,10^-3,1
2/10/20,N2,Control,"2,3-Pentanedione",2,10^-3,1
2/10/20,N2,Control,"2,3-Pentanedione",3,10^-3,0.988571429
2/14/20,N2,Control,"2,3-Pentanedione",1,10^-3,1
2/14/20,N2,Control,"2,3-Pentanedione",2,10^-3,0.911290323
2/14/20,N2,Control,"2,3-Pentanedione",3,10^-3,0.88372093
2/21/20,N2,Control,"2,3-Pentanedione",1,10^-3,0.969325153
2/21/20,N2,Control,"2,3-Pentanedione",2,10^-3,0.97309417
2/21/20,N2,Control,"2,3-Pentanedione",3,10^-3,0.933147632
2/7/20,N2,Control,"2,3-Pentanedione",1,10^-4,0.72815534
2/7/20,N2,Control,"2,3-Pentanedione",2,10^-4,0.681818182
2/7/20,N2,Control,"2,3-Pentanedione",3,10^-4,0.675213675
2/10/20,N2,Control,"2,3-Pentanedione",1,10^-4,0.801169591
2/10/20,N2,Control,"2,3-Pentanedione",2,10^-4,0.739776952
2/10/20,N2,Control,"2,3-Pentanedione",3,10^-4,0.876712329
2/14/20,N2,Control,"2,3-Pentanedione",1,10^-4,0.856716418
2/14/20,N2,Control,"2,3-Pentanedione",2,10^-4,0.594827586
2/14/20,N2,Control,"2,3-Pentanedione",3,10^-4,0.684931507
2/21/20,N2,Control,"2,3-Pentanedione",1,10^-4,0.655677656
2/21/20,N2,Control,"2,3-Pentanedione",2,10^-4,0.725
2/21/20,N2,Control,"2,3-Pentanedione",3,10^-4,0.700564972
2/7/20,N2,Control,"2,3-Pentanedione",1,10^-5,0.365591398
2/7/20,N2,Control,"2,3-Pentanedione",2,10^-5,0.127516779
2/7/20,N2,Control,"2,3-Pentanedione",3,10^-5,-0.180327869
2/10/20,N2,Control,"2,3-Pentanedione",1,10^-5,0.163636364
2/10/20,N2,Control,"2,3-Pentanedione",2,10^-5,0.234042553
2/10/20,N2,Control,"2,3-Pentanedione",3,10^-5,0.401709402
2/14/20,N2,Control,"2,3-Pentanedione",1,10^-5,0.298969072
2/14/20,N2,Control,"2,3-Pentanedione",2,10^-5,0.024221453
2/14/20,N2,Control,"2,3-Pentanedione",3,10^-5,0.166666667
2/21/20,N2,Control,"2,3-Pentanedione",1,10^-5,0.228915663
2/21/20,N2,Control,"2,3-Pentanedione",2,10^-5,-0.07755102
2/21/20,N2,Control,"2,3-Pentanedione",3,10^-5,0.02238806
2/25/20,N2,Control,"2,4,5-Trimethylthiazole",1,10^-3,0.887240356
2/25/20,N2,Control,"2,4,5-Trimethylthiazole",2,10^-3,0.923566879
2/25/20,N2,Control,"2,4,5-Trimethylthiazole",3,10^-3,0.825641026
2/28/20,N2,Control,"2,4,5-Trimethylthiazole",1,10^-3,0.765765766
2/28/20,N2,Control,"2,4,5-Trimethylthiazole",2,10^-3,0.781420765
2/28/20,N2,Control,"2,4,5-Trimethylthiazole",3,10^-3,0.843003413
2/28/20,N2,Control,"2,4,5-Trimethylthiazole",4,10^-3,0.814323607
