animal,animal_num,genotype,cue,food,neuron,mean_pulse_delF,signal,MeanGCaMP,time,fitted,correction,delF
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,0.032423240363333335,258.762,0.25,0.007702803092089011,nls,0.02252991155113045
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,0.01958440637831741,257.974,0.5,0.0063703922438911875,nls,0.011023488414312351
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,0.01364573867599795,257.442,0.75,0.005051375308336825,nls,0.006403837647547253
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,0.008329217113920224,257.719,1,0.003745617644600907,nls,0.0023930737492054445
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,0.01470150182307675,257.861,1.25,0.002452985965320398,nls,0.01005799013764248
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,0.008178393807195523,257.494,1.5,0.001173348322988682,nls,0.004814519764092969
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,0.011402241988454291,257.784,1.75,-9.3425903513078e-5,nls,0.009305142171853497
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,0.0014856095712471992,257.329,2,-0.0013474660222494161,nls,6.425498733827434e-4
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,0.0024282552382823407,257.403,2.25,-0.002588900041429823,nls,0.0028266295595982915
06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_Control_adult_Animal__1_ImageJ_data.csv,1,WT_CON_DIA_107,DIA,OP50,GCAMP,0.002190525720113872,-0.0021530027035083815,257.294,2.5,-0.0038178546824754467,nls,-5.256737411468071e-4
