Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Slice,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings)
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult.Project Maximum Z_XY1634664156_Z0_T0_C0.tif,28.487,7062.824,4963,2370,25581,201201.803,6031,4491956,1,,1300.25,,,5762.574,,164161.5813
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult.Project Maximum Z_XY1634664156_Z0_T0_C0.tif,56.885,8226.819,5544,1761,56298,467985.107,6174,10448060,1,,1300.25,,,6926.569,,394020.3858
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 1.Project Maximum Z_XY1634664231_Z0_T0_C0.tif,77.221,8878.316,3569,2006,55862,685589.631,6400,15306217,1,,1259.69,,,7618.626,,588315.1095
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 2.Project Maximum Z_XY1634664282_Z0_T0_C0.tif,49.36,9124.601,6472,2293,50788,450393.214,7412,10055310,1,,1278.454,,,7846.147,,387288.7246
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 2.Project Maximum Z_XY1634664282_Z0_T0_C0.tif,34.31,6151.315,9129,2132,23439,211053.755,4988,4711907,1,,1278.454,,,4872.861,,167189.9983
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 3.Project Maximum Z_XY1634664347_Z0_T0_C0.tif,51.331,10567.033,3262,1690,54791,542417.961,7616,12109820,1,,1712.188,,,8854.845,,454529.6388
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 4.Project Maximum Z_XY1634664418_Z0_T0_C0.tif,60.245,5810.282,1853,1569,37994,350038.532,4494,7814829,1,,1242.443,,,4567.839,,275187.5535
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 4.Project Maximum Z_XY1634664418_Z0_T0_C0.tif,55.407,5924.479,3505,1605,24098,328258.716,5085,7328581,1,,1242.443,,,4682.036,,259418.6767
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 5.Project Maximum Z_XY1634664504_Z0_T0_C0.tif,45.822,9121.654,5865,1901,48571,417970.471,6489,9331452,1,,1302.438,,,7819.216,,358290.157
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 5.Project Maximum Z_XY1634664504_Z0_T0_C0.tif,44.568,5714.154,3780,1687,22706,254666.241,4249,5685583,1,,1302.438,,,4411.716,,196619.1842
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 6.Project Maximum Z_XY1634664561_Z0_T0_C0.tif,71.129,4868.69,3972,1528,34648,346305.199,4056,7731480,1,,1303.809,,,3564.881,,253566.5686
20211019,PHX3508,odr-10,Control,NGM,20211019_PHX3508_odr-10-t2A-mNG_control_adult - 6.Project Maximum Z_XY1634664561_Z0_T0_C0.tif,47.524,10365.635,2038,1640,49457,492615.056,7599,10997939,1,,1303.809,,,9061.826,,430652.8371
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult.Project Maximum Z_XY1634663563_Z0_T0_C0.tif,34.086,8017.635,2455,1878,40778,273292.237,6018,6101420,1,,1297.791,,,6719.844,,229055.733
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 1.Project Maximum Z_XY1634663626_Z0_T0_C0.tif,44.657,6707.537,3899,1955,35560,299539.834,4844,6687414,1,,1240.755,,,5466.782,,244131.438
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 1.Project Maximum Z_XY1634663626_Z0_T0_C0.tif,41.567,6421.155,1839,1768,23565,266905.495,5650,5958832,1,,1240.755,,,5180.4,,215331.0319
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 2.Project Maximum Z_XY1634663671_Z0_T0_C0.tif,65.844,5152.47,2097,1750,30553,339257.288,4234,7574131,1,,1298.98,,,3853.49,,253727.2489
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 2.Project Maximum Z_XY1634663671_Z0_T0_C0.tif,52.988,5685.133,5013,1767,44576,301246.303,4457,6725512,1,,1298.98,,,4386.153,,232415.9508
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 3.Project Maximum Z_XY1634663750_Z0_T0_C0.tif,66.157,6065.97,4767,1691,40726,401307.377,4861,8959438,1,,1227.98,,,4837.99,,320067.9041
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 3.Project Maximum Z_XY1634663750_Z0_T0_C0.tif,65.261,6909.089,3606,1503,47613,450896.358,4889,10066543,1,,1227.98,,,5681.109,,370757.1552
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 4.Project Maximum Z_XY1634663808_Z0_T0_C0.tif,47.882,6764.196,4004,1840,37446,323884.594,5026,7230926,1,,1275.243,,,5488.953,,262823.4087
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 4.Project Maximum Z_XY1634663808_Z0_T0_C0.tif,53.078,6349.758,4124,1752,41886,337032.58,4821,7524463,1,,1275.243,,,5074.515,,269345.232
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 5.Project Maximum Z_XY1634663867_Z0_T0_C0.tif,51.242,6144.576,4134,1720,32266,314857.703,4725,7029395,1,,1260.191,,,4884.385,,250282.9958
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 5.Project Maximum Z_XY1634663867_Z0_T0_C0.tif,37.132,7267.335,4033,2128,41956,269852.289,4940,6024621,1,,1260.191,,,6007.144,,223058.8768
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 6.Project Maximum Z_XY1634663938_Z0_T0_C0.tif,44.612,7594.612,4315,2028,51951,338813.986,5422,7564234,1,,1244.242,,,6350.37,,283305.8619
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 6.Project Maximum Z_XY1634663938_Z0_T0_C0.tif,44.657,6013.227,4347,1739,24213,268533.893,4785,5995187,1,,1244.242,,,4768.985,,212969.778
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 7.Project Maximum Z_XY1634664006_Z0_T0_C0.tif,34.266,5726.936,3535,1893,23522,196236.656,4606,4381106,1,,1288.37,,,4438.566,,152089.3696
20211019,PHX3508,odr-10,Post-dauer,NGM,20211019_PHX3508_odr-10-t2A-mNG_PD_adult - 7.Project Maximum Z_XY1634664006_Z0_T0_C0.tif,52.361,8212.819,5600,1752,44642,430034.322,6554,9600785,1,,1288.37,,,6924.449,,362573.9804
20211020,PHX3508,odr-10,Post-dauer,NGM,20211020_PHX3508_odr-10-t2A-mNG_PD_adult.Project Maximum Z_XY1634749756_Z0_T0_C0.tif,84.925,9059.194,65424,1934,65426,769350.511,6367,17176231,1,,1341.52,,,7717.674,,655421.925
20211020,PHX3508,odr-10,Post-dauer,NGM,20211020_PHX3508_odr-10-t2A-mNG_PD_adult.Project Maximum Z_XY1634749756_Z0_T0_C0.tif,33.773,7786.069,4573,2114,41880,262957.745,5192,5870696,1,,1341.52,,,6444.549,,217650.59
20211020,PHX3508,odr-10,Post-dauer,NGM,20211020_PHX3508_odr-10-t2A-mNG_PD_adult.Project Maximum Z_XY1634749756_Z0_T0_C0.tif,47.434,6838.437,3854,1967,36919,324376.361,5040,7241905,1,,1341.52,,,5496.917,,260742.7013
20211020,PHX3508,odr-10,Post-dauer,NGM,20211020_PHX3508_odr-10-t2A-mNG_PD_adult - 1.Project Maximum Z_XY1634749825_Z0_T0_C0.tif,63.514,11251.554,65401,2075,65401,714636.343,7788,15954703,1,,1313.622,,,9937.932,,631202.9553
20211020,PHX3508,odr-10,Post-dauer,NGM,20211020_PHX3508_odr-10-t2A-mNG_PD_adult - 2.Project Maximum Z_XY1634749923_Z0_T0_C0.tif,34.803,5193.951,4490,2032,25429,180765.376,4394,4035700,1,,1301.293,,,3892.658,,135476.4757
20211020,PHX3508,odr-10,Post-dauer,NGM,20211020_PHX3508_odr-10-t2A-mNG_PD_adult - 2.Project Maximum Z_XY1634749923_Z0_T0_C0.tif,54.198,10422.839,5420,2125,58383,564895.048,7119,12611635,1,,1301.293,,,9121.546,,494367.57
