Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Slice,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM.Project Maximum Z_XY1644097788_Z0_T0_merged.tif:2,47.21,2902.824,2390,1789,13686,137043.241,2553,3059576,2,,1388.604,,,1514.22,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM.Project Maximum Z_XY1644097788_Z0_T0_merged.tif:2,55.273,5648.717,3995,2215,30274,312220.464,4288,6970517,2,,1388.604,,,4260.113,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 1.Project Maximum Z_XY1644097871_Z0_T0_merged.tif:2,55.586,5011.751,3586,1807,27001,278584.944,3749,6219583,2,,1310.937,,,3700.814,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 1.Project Maximum Z_XY1644097871_Z0_T0_merged.tif:2,54.377,6154.965,3645,2046,24429,334688.413,4485,7472128,2,,1310.937,,,4844.028,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 2.Project Maximum Z_XY1644097944_Z0_T0_merged.tif:2,38.297,7012.567,3806,2699,43542,268558.887,4829,5995745,2,,1394.357,,,5618.21,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 3.Project Maximum Z_XY1644098032_Z0_T0_merged.tif:2,63.873,5985.822,2322,1928,34916,382331.155,4542,8535782,2,,1490.241,,,4495.581,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 3.Project Maximum Z_XY1644098032_Z0_T0_merged.tif:2,38.476,4430.66,2851,2171,22727,170473.929,3606,3805937,2,,1490.241,,,2940.419,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 4.Project Maximum Z_XY1644098117_Z0_T0_merged.tif:2,45.732,8468.134,4612,1987,36287,387266.426,6026,8645965,2,,1542.358,,,6925.776,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 5.Project Maximum Z_XY1644098199_Z0_T0_merged.tif:2,54.914,4755.494,3014,1839,25240,261145.477,3753,5830236,2,,1432.523,,,3322.971,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 5.Project Maximum Z_XY1644098199_Z0_T0_merged.tif:2,51.331,5120.178,3729,1853,23105,262824.624,4034,5867724,2,,1432.523,,,3687.655,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 6.Project Maximum Z_XY1644098300_Z0_T0_merged.tif:2,46.942,5374.264,4591,1849,25164,252276.431,4818,5632229,2,,1355.672,,,4018.592,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 6.Project Maximum Z_XY1644098300_Z0_T0_merged.tif:2,46.538,4003.766,3355,1688,21721,186329.073,3477,4159913,2,,1355.672,,,2648.094,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 7.Project Maximum Z_XY1644098394_Z0_T0_merged.tif:2,62.663,5590.438,4507,1773,28950,350315.971,4429,7821023,2,,1323.286,,,4267.152,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NGM - 7.Project Maximum Z_XY1644098394_Z0_T0_merged.tif:2,68.038,5405.265,1951,1691,30550,367765.606,4373,8210597,2,,1323.286,,,4081.979,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA.Project Maximum Z_XY1644098600_Z0_T0_merged.tif:2,50.122,3145.458,2722,1696,12782,157655.922,2731,3519767,2,,1287.138,,,1858.32,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA.Project Maximum Z_XY1644098600_Z0_T0_merged.tif:2,45.15,3223.935,2692,1723,12971,145560.359,2791,3249726,2,,1287.138,,,1936.797,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 1.Project Maximum Z_XY1644098702_Z0_T0_merged.tif:2,57.333,4365.381,3227,1752,22119,250281.37,3472,5587688,2,,1342.881,,,3022.5,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 1.Project Maximum Z_XY1644098702_Z0_T0_merged.tif:2,43.269,4273.125,2931,1709,16273,184892.427,3623,4127839,2,,1342.881,,,2930.244,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 2.Project Maximum Z_XY1644098776_Z0_T0_merged.tif:2,43.761,4615.178,2995,1911,19280,201966.529,3907,4509029,2,,1464.462,,,3150.716,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 2.Project Maximum Z_XY1644098776_Z0_T0_merged.tif:2,58.184,4917.971,2719,1908,25748,286148.495,3663,6388444,2,,1464.462,,,3453.509,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 3.Project Maximum Z_XY1644098863_Z0_T0_merged.tif:2,48.375,6313.942,6117,1949,33265,305436.332,5440,6819057,2,,1536.466,,,4777.476,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 3.Project Maximum Z_XY1644098863_Z0_T0_merged.tif:2,61.678,4517.248,3747,2002,26985,278614.82,3570,6220250,2,,1536.466,,,2980.782,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 4.Project Maximum Z_XY1644098960_Z0_T0_merged.tif:2,65.754,6116.337,3607,1883,43377,402173.87,4360,8978783,2,,1366.451,,,4749.886,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 5.Project Maximum Z_XY1644099069_Z0_T0_merged.tif:2,58.677,6082.273,4188,1877,61859,356889.359,4822,7967778,2,,1361.999,,,4720.274,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 6.Project Maximum Z_XY1644099163_Z0_T0_merged.tif:2,51.107,3977.18,2220,1695,20919,203262.484,3363,4537962,2,,1364.028,,,2613.152,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 6.Project Maximum Z_XY1644099163_Z0_T0_merged.tif:2,59.752,2996.28,2485,1668,10294,179033.644,2706,3997038,2,,1364.028,,,1632.252,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 7.Project Maximum Z_XY1644099236_Z0_T0_merged.tif:2,47.389,4913.625,2836,1831,19861,232854.175,4155,5198615,2,,1396.559,,,3517.066,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Adult,1mM NAA,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_control_adult_NAA - 7.Project Maximum Z_XY1644099236_Z0_T0_merged.tif:2,37.446,5116.187,4131,2225,18376,191579.497,4441,4277132,2,,1396.559,,,3719.628,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Dauer,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_dauer_NGM.Project Maximum Z_XY1644091443_Z0_T0_merged.tif:2,26.113,6715.321,5836,2212,22541,175360.466,6210,3915032,2,,1331.633,,,5383.688,,,,,,,,,,,,,,,,,,,,,,
20220205,PY12400,odr-10,Dauer,NGM,20220205_daf-2_OH16029_PHX3508_odr-10-t2A-mNG_dauer_NGM.Project Maximum Z_XY1644091443_Z0_T0_merged.tif:2,33.638,8225.342,5165,2652,19407,276687.976,8130,6177232,2,,1331.633,,,6893.709,,,,,,,,,,,,,,,,,,,,,,
