,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
21ur-10153,55.52111147,-1.96827559,2.402650039,-0.819627071,NA,NA
21ur-10191,13.92657978,-6.008627885,2.459693313,-7.597118718,NA,NA
21ur-1024,0.768408358,-0.087510239,1.89204354,-0.046764361,0.962701034,NA
21ur-10296,9.584088555,-5.58337267,2.461368163,-7.426900711,NA,NA
21ur-10350,0.619430953,1.274687706,2.124360825,0.59246705,0.553537879,NA
21ur-10432,1.547875649,1.199027801,1.81033833,0.657681042,0.510743107,NA
21ur-10437,0.303849421,0.906753319,2.248184571,0.398126917,0.690536634,NA
21ur-10697,1.346945505,-3.36655668,2.48115559,-1.411433358,NA,NA
21ur-10754,0.599337539,0.985869777,1.986860798,0.500332012,0.616841317,NA
21ur-10763,0.434295444,-0.278274819,2.117085066,-0.131928295,0.895041008,NA
21ur-10895,12.59940214,-2.076414184,2.411709305,-0.860163312,NA,NA
21ur-10957,24.4852897,6.532413221,2.458826906,7.572673791,NA,NA
21ur-10983,0.790378244,-1.31375176,2.42775832,-0.532879656,0.594116888,NA
21ur-11188,1.318584645,1.196037533,1.786152174,0.673029017,0.500928831,NA
21ur-11344,1.094393223,-3.135855242,2.485320955,-1.31299561,NA,NA
21ur-1139,6.329613911,-0.431469658,1.505066827,-0.286637127,0.774390183,0.988447238
21ur-11435,30.85347047,-6.915777088,2.45701151,-7.800307814,NA,NA
21ur-11459,1.98357644,-0.150233926,1.655503332,-0.090835554,0.927623259,NA
21ur-1152,0.425479859,0.477626073,2.109078094,0.221736898,0.824518705,NA
21ur-11744,7.739152597,-0.146666992,2.411213678,-0.060833895,NA,NA
21ur-11781,5.06154873,2.528823987,1.747616336,1.438956705,0.15016279,0.434123058
21ur-11817,1.011043447,-0.786149791,2.005864716,-0.388625411,0.697553266,NA
21ur-11897,6.886798617,-1.700963612,1.792780105,-0.949563121,0.342334285,0.758895767
21ur-11898,0.632123254,-0.620130158,2.45347347,-0.247884862,0.804223493,NA
21ur-11983,0.262356238,-0.343678658,2.249298553,-0.149063597,0.88150345,NA
21ur-12005,0.670937206,1.144278106,2.122571135,0.562641374,0.573679113,NA
21ur-12084,1.070436745,0.277983086,1.871804697,0.149442225,0.881204695,NA
21ur-1214,0.529287443,-1.332815606,2.501656728,-0.556523892,0.577852766,NA
21ur-12187,4.107197435,1.457731637,1.61597924,0.900871124,0.367656846,0.788719988
21ur-12188,0.468069681,0.41336964,2.387078489,0.17138532,0.863920797,NA
21ur-12279,23.68282471,1.676950938,1.398477343,1.19898127,0.230535229,0.593107017
21ur-1229,73.87375389,-2.224603583,2.402277059,-0.926827974,NA,NA
21ur-12364,79.97349644,1.164173367,2.401447841,0.484919694,NA,NA
21ur-12556,41.06885326,-7.239212382,2.456255142,-8.086990902,NA,NA
21ur-12572,18.03648912,6.18245619,2.459855075,7.430643611,NA,NA
21ur-12715,1.200396119,1.5850028,1.911791139,0.831929177,0.405448922,NA
21ur-1280,1.637320469,-1.123709142,1.782618379,-0.627640957,0.530239172,NA
21ur-12830,6.820513398,5.078788494,2.464299518,6.977951415,NA,NA
21ur-1292,0.794803407,1.532582886,2.268645426,0.67194839,0.501616553,NA
21ur-12944,4.636806013,-4.727690225,2.466107546,-1.991937059,NA,NA
21ur-13151,1.090405285,-3.145311879,2.485137237,-1.316004899,NA,NA
21ur-13215,70.27775251,-0.0429861,2.401350926,-0.017904738,0.985714849,0.996962678
21ur-13272,0.552640525,0.606496481,2.096178582,0.288449409,0.773002751,NA
21ur-13334,0.779626609,-0.254343996,2.121715966,-0.119621253,0.904783183,NA
21ur-13353,1.14328655,1.684871763,1.852627301,0.912790869,0.361352541,NA
21ur-13400,6.93920875,-2.589823802,2.427060383,-1.067387952,NA,NA
21ur-13659,1.069261311,0.376627738,1.959075607,0.190233099,0.849126475,NA
21ur-13666,0.511887413,2.224327131,2.334645352,0.960668082,0.336719085,NA
21ur-13719,0.63176335,0.37361532,2.129999207,0.172119159,0.863343851,NA
21ur-13750,2.103412828,3.750369475,2.474570288,1.550230439,0.121086216,NA
21ur-13798,4.129426479,4.5104174,2.467748951,1.872503277,NA,NA
21ur-13886,4.357424602,-0.710337344,1.543176007,-0.461076813,0.644743497,0.973926826
21ur-13893,8.390410881,-5.413396957,2.462142806,-2.279697266,NA,NA
21ur-13915,4.872122883,-1.609904884,2.298281852,-0.698414854,0.48491779,0.903568083
21ur-13920,0.656218596,-0.432914056,1.977618868,-0.221270789,0.824881593,NA
21ur-13922,16.7120802,-6.210880975,2.459005632,-7.677162766,NA,NA
21ur-13952,368.273376,-0.562593369,1.376999935,-0.408562995,0.682860392,0.981588929
21ur-14053,420.1814457,1.499306442,1.406278761,1.066172305,0.286345759,0.685483811
21ur-14060,8.967863304,5.383033957,2.46283799,7.103348228,NA,NA
21ur-14107,6.672571445,-0.939298356,1.654032688,-0.567393981,0.570446538,0.959015721
21ur-14159,22.38049659,-0.933962339,2.404424703,-0.388310467,NA,NA
21ur-14229,8.138578116,0.421926814,1.451828052,0.290563749,0.771384989,0.988447238
21ur-14264,0.784692705,0.59855152,2.254992656,0.269631639,0.787443657,NA
21ur-14295,13.46945505,-5.96923944,2.459834654,-7.582301317,NA,NA
21ur-14449,57.10257898,5.23839386,2.420590932,2.166448518,0.03027693,0.123820028
21ur-14713,16.50008244,-6.200742164,2.459038669,-7.669894679,NA,NA
21ur-14742,0.42085818,-2.16184741,2.508254104,-0.889326885,NA,NA
21ur-14760,18.66033944,5.48154618,2.453640051,2.244466943,NA,NA
21ur-14903,0.510378554,2.210395352,2.502137963,0.88691022,NA,NA
21ur-15006,55.20007158,-7.578681298,2.455540504,-8.197048121,NA,NA
21ur-15020,5.541239805,1.756659258,2.423929724,0.726566961,0.467491274,0.892256073
21ur-15030,29.36643808,-6.854141145,2.457165374,-7.933992735,NA,NA
21ur-15182,19.20222132,0.005553538,2.246995164,0.002476296,0.998024203,0.999350305
21ur-15244,37.83952579,7.031808063,2.457559738,7.774706689,7.56E-15,1.10E-13
21ur-15261,5.761817298,4.887437479,2.465343339,2.031841513,NA,NA
21ur-15413,0.541448528,-0.488344359,2.1034208,-0.230245099,0.817901319,NA
21ur-15418,15.14515748,-1.017002939,2.406608723,-0.422694003,NA,NA
21ur-15445,15.59136114,-6.167139312,2.438395523,-2.614312468,0.008940723,0.042789448
21ur-15498,0.433481638,0.813564638,2.104217307,0.385141954,0.700132246,NA
21ur-15499,24.53966342,-6.654037011,2.457689276,-7.854248305,NA,NA
21ur-15510,0.579975629,2.337388584,2.500003771,0.944762585,NA,NA
21ur-15514,122.2310225,1.636228332,2.401158058,0.681819136,0.495353322,0.911890504
21ur-15588,288.5609261,0.15173723,2.031898091,0.074687282,0.940463527,0.99561292
