Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,ECTOPIC EXPRESSION (NOT IN AWA) TRUE/FALSE,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1632840220_Z0_T0_merged.tif:2,56.393,2570.531,2369,1790,5434,144958.943,2534,3236299,2,1269.717,,,1300.814,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1632840220_Z0_T0_merged.tif:2,49.987,3251.188,2904,1866,8499,162518.451,3184,3628326,2,1269.717,,,1981.471,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 1.Project Maximum Z_XY1632840283_Z0_T0_merged.tif:2,56.482,2932.735,3668,1701,8992,165647.278,2787,3698179,2,1257.964,,,1674.771,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 2.Project Maximum Z_XY1632840359_Z0_T0_merged.tif:2,74.444,2898.946,2337,1952,8447,215808.023,2718,4818049,2,1272.096,,,1626.85,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1632840433_Z0_T0_merged.tif:2,31.175,2553.177,2432,1833,3947,79595.129,2535,1777011,2,1302.57,,,1250.607,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1632840433_Z0_T0_merged.tif:2,43.089,2893.196,2687,1772,6182,124666.387,2780,2783255,2,1302.57,,,1590.626,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1632840498_Z0_T0_merged.tif:2,56.706,2745.622,3076,1604,5302,155693.648,2752,3475958,2,1239.162,,,1506.46,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1632840498_Z0_T0_merged.tif:2,61.992,3064.353,1906,1645,9616,189963.954,2961,4241064,2,1239.162,,,1825.191,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 5.Project Maximum Z_XY1632840563_Z0_T0_merged.tif:2,54.467,2706.334,2439,1755,6667,147404.698,2691,3290902,2,1261.66,,,1444.674,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Control,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 6.Project Maximum Z_XY1632840631_Z0_T0_merged.tif:2,45.508,2764.963,2676,1805,6034,125828.594,2744,2809202,2,1291.246,,,1473.717,,,,,,,,,,,,,,,,,,,,,,
