animal,animal_num,genotype,condition,cue,baseline_meanGCaMP
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_1_ImageJ_data.csv,1,wt,Dauer,DIA,277.2036
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_10_ImageJ_data.csv,2,wt,Dauer,DIA,289.4869
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_11_ImageJ_data.csv,3,wt,Dauer,DIA,306.1729
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_12_ImageJ_data.csv,4,wt,Dauer,DIA,279.7067
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_2_ImageJ_data.csv,5,wt,Dauer,DIA,292.9757
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_4_ImageJ_data.csv,6,wt,Dauer,DIA,260.5355
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_5_ImageJ_data.csv,7,wt,Dauer,DIA,264.137
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_6_ImageJ_data.csv,8,wt,Dauer,DIA,241.5221
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_7_ImageJ_data.csv,9,wt,Dauer,DIA,245.2471
20220216_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_9_ImageJ_data.csv,10,wt,Dauer,DIA,272.715
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_1_ImageJ_data.csv,11,wt,Dauer,DIA,298.8427
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_11_ImageJ_data.csv,12,wt,Dauer,DIA,335.9952
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_12_ImageJ_data.csv,13,wt,Dauer,DIA,285.0026
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_2_ImageJ_data.csv,14,wt,Dauer,DIA,333.0614
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_4_ImageJ_data.csv,15,wt,Dauer,DIA,299.446
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_5_ImageJ_data.csv,16,wt,Dauer,DIA,277.3602
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_6_ImageJ_data.csv,17,wt,Dauer,DIA,289.3508
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_7_ImageJ_data.csv,18,wt,Dauer,DIA,369.0609
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_8_ImageJ_data.csv,19,wt,Dauer,DIA,302.1013
20220220_CX14887_kyIs598_DIA105_115uM_SDS_Dauer_Animal_9_ImageJ_data.csv,20,wt,Dauer,DIA,285.2476
06232020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__1/06232020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__1_ImageJ_data.csv,1,wt,Control,DIA,305.5134
06232020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__2/06232020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__2_ImageJ_data.csv,2,wt,Control,DIA,269.1404
